locale,country,numberOfPolls,NumberOfInternetUsers ,GDPpercapitaIn$,OverallPaceRanks,WalkingSpeedMeans,WalkingSpeedRanks,planningahead_meanminutes
US,USA,602419,245000000,47200,16,12.03,6,24514.87597
GB,United Kingdom,60686,51444000,34800,6,12,4,39838.71207
NL,Netherlands,9815,14872000,40300,9,11.45,2,35315.41108
FR,France,53131,45262000,33100,11,12.34,8,34144.37594
PL,Poland,1573,22452000,18800,12,12.9,12,33848.9324
ES,Spain,12220,28119000,29400,0,0,0,31068.44438
JP,Japan,1172,99182000,34000,4,12.11,7,22422.78203
PH,Philippines,294,8278000,3500,0,0,0,22127.35802
HK,Hong Kong,2570,4873000,45900,10,13.1,14,17274.50964
KR,"Korea, Republic of",1105,39400000,30000,18,13.76,20,13815.74701
