locale,country,numberOfPolls,NumberOfInternetUsers ,GDPpercapitaIn$,WVS,PDI,IDV,OverallPaceMeans,WalkingSpeedMeans,ClockAccuracyMeans,numberofoptions_mean,planningahead_meanminutes,fraction_of_consensus_options_open_polls
US,USA,602419,245000000,47200,1.76,40,91,-0.3,12.03,67.87,16.58,24514.87597,15.18
GB,United Kingdom,60686,51444000,34800,1.68,35,89,-2.09,12,53.72,14.09,39838.71207,18.51
NL,Netherlands,9815,14872000,40300,1.39,38,80,-1.43,11.45,82.33,13.76,35315.41108,18.72
FR,France,53131,45262000,33100,1.13,68,71,-1.36,12.34,49,12.1,34144.37594,20.72
PL,Poland,1573,22452000,18800,-0.14,68,60,-1.32,12.9,43,14.56,33848.9324,19.95
ES,Spain,12220,28119000,29400,0.54,57,51,,,,12.16,31068.44438,22.91
JP,Japan,1172,99182000,34000,-0.05,54,46,-2.68,12.11,35,14.84,22422.78203,23.96
PH,Philippines,294,8278000,3500,-0.11,94,32,,,,10.23,22127.35802,27.34
HK,Hong Kong,2570,4873000,45900,-0.98,68,25,-1.39,13.1,54.83,17.81,17274.50964,19.47
KR,"Korea, Republic of",1105,39400000,30000,-1.37,60,18,-0.02,13.76,58,8.87,13815.74701,20.9
