country,continent,numberOfPolls+C1,GDP,PDI,IDV,OverallPaceMeans,OverallPaceRanks,numberofoptions_mean,planningahead_meanminutes,responsetime_mean,fraction_consensus_polls_open
USA,North America,602419,47200,40,91,-0.3,16,16.58,24514.87597,1801.37393,52.58520067
Australia,Australia,7321,41000,36,90,,,14.46,25691.74347,1950.648967,54.3129771
United Kingdom,Europe,60686,34800,35,89,-2.09,6,14.09,39838.71207,2449.710018,54.85465179
Netherlands,Europe,9815,40300,38,80,-1.43,9,13.76,35315.41108,2305.125666,55.24913403
Canada,North America,81129,39400,39,80,-0.26,17,13.75,26509.54274,1908.411128,51.18263914
Hungary,Europe,3238,18800,46,80,0.01,19,13.22,19867.21997,1667.75778,53.06748466
New Zealand,Australia,2507,27700,22,79,,,12.8,30416.44543,1649.875583,52.60332797
Italy,Europe,5477,30500,50,76,-2.13,5,11,26264.37634,1800.354139,52.70337302
Belgium,Europe,45309,37800,65,75,,,15.02,36682.51959,2581.29061,59.39671425
Denmark,Europe,15774,36600,18,74,,,12.18,36518.9309,2639.582385,58.08489955
Sweden,Europe,7963,39100,31,71,-1.96,7,11.99,29685.69446,2279.384228,55.277822
France,Europe,53131,33100,68,71,-1.36,11,12.1,34144.37594,2108.747004,53.63046558
Ireland,Europe,4161,37300,28,70,-3.02,2,11.62,30307.38762,1883.193231,51.82211242
Norway,Europe,9157,54600,31,69,,,10.76,35697.35822,2276.822524,55.40427897
Switzerland,Europe,358108,42600,34,68,-3.43,1,9.49,46705.83079,2644.982284,57.28671668
Germany,Europe,405381,35700,35,67,-3,3,10.13,44773.38567,2705.480846,50.91007553
South Africa,Africa,910,10700,49,65,,,10.8,37726.91403,1910.429489,54.07066052
Finland,Europe,8921,35400,33,63,,,12.35,26858.57263,2228.427228,52.66181003
Poland,Europe,1573,18800,68,60,-1.32,12,14.56,33848.9324,2006.608654,51.42071494
Estonia,Europe,2162,19100,40,60,,,9.53,19715.10752,1635.341718,42.89324068
Luxembourg,Europe,1788,82600,40,60,,,11.8,39442.12655,2381.325724,53.62106803
Czech Republic,Europe,2045,25600,57,58,0.28,20,14.76,28054.54312,1697.218685,52.90697674
Austria,Europe,47721,40400,11,55,-1.43,8,9.68,37932.88092,2299.23038,51.09032528
Israel,Europe,3426,29800,13,54,,,11.94,21452.14017,1487.056173,54.4988161
Slovakia,Europe,748,22000,104,52,,,10.83,22093.84307,1169.60887,50.58365759
Spain,Europe,12220,29400,57,51,,,12.16,31068.44438,2045.77738,55.38516832
India,Asia,1173,3500,77,48,,,9.39,19376.14914,1456.0949,60.58631922
Japan,Asia,1172,34000,54,46,-2.68,4,14.84,22422.78203,1701.709078,61.51960784
Brazil,South America,972,10800,69,38,3.98,29,19.15,18635.31399,1818.326762,55.83684951
Lebanon,Asia,596,14400,80,38,,,12.57,11214.93064,1075.648561,47.79735683
Greece,Europe,680,29600,60,35,0.54,21,12.64,21710.33333,2015.087386,57.2597137
Romania,Europe,1095,11600,90,30,2.42,25,11.8,15305.76112,1212.105763,44.67532468
Portugal,Europe,1690,23000,63,27,,,12.48,20454.65063,1805.633195,52.5
Hong Kong,Asia,2570,45900,68,25,-1.39,10,17.81,17274.50964,1565.551025,54.76784823
Singapore,Asia,2372,62100,74,20,-0.65,15,15.66,21931.515,1490.848918,52.8021978
China,Asia,573,7600,80,20,1.03,23,11.29,23270.88571,2403.029135,57.74647887
Vietnam,Asia,778,3100,70,20,,,12.79,8910.326087,1116.276382,48.62542955
Thailand,Asia,649,8700,64,20,,,9.63,25852.02317,1598.329985,53.18681319
Korea,Asia,1105,30000,60,18,-0.02,18,8.87,13815.74701,882.082045,51.91326531
Taiwan,Asia,547,35700,58,17,-0.73,14,22.36,21053.42466,1261.822075,55.98958333
