Country,Continent,Number Of Polls,GDP,PDI,IDV,Pace of Life,Pace of Life Ranking,Number of Options,Planning Ahead of Time,Response Time,Fraction of Consensus
USA,North America,602419,47200,40,91,-0.3,16,16.58,24515,1801,52.6
Australia,Australia,7321,41000,36,90,,,14.46,25692,1951,54.3
United Kingdom,Europe,60686,34800,35,89,-2.09,6,14.09,39839,2450,54.9
Netherlands,Europe,9815,40300,38,80,-1.43,9,13.76,35315,2305,55.2
Canada,North America,81129,39400,39,80,-0.26,17,13.75,26510,1908,51.2
Hungary,Europe,3238,18800,46,80,0.01,19,13.22,19867,1668,53.1
New Zealand,Australia,2507,27700,22,79,,,12.8,30416,1650,52.6
Italy,Europe,5477,30500,50,76,-2.13,5,11,26264,1800,52.7
Belgium,Europe,45309,37800,65,75,,,15.02,36683,2581,59.4
Denmark,Europe,15774,36600,18,74,,,12.18,36519,2640,58.1
Sweden,Europe,7963,39100,31,71,-1.96,7,11.99,29686,2279,55.3
France,Europe,53131,33100,68,71,-1.36,11,12.1,34144,2109,53.6
Ireland,Europe,4161,37300,28,70,-3.02,2,11.62,30307,1883,51.8
Norway,Europe,9157,54600,31,69,,,10.76,35697,2277,55.4
Switzerland,Europe,358108,42600,34,68,-3.43,1,9.49,46706,2645,57.3
Germany,Europe,405381,35700,35,67,-3,3,10.13,44773,2705,50.9
South Africa,Africa,910,10700,49,65,,,10.8,37727,1910,54.1
Finland,Europe,8921,35400,33,63,,,12.35,26859,2228,52.7
Poland,Europe,1573,18800,68,60,-1.32,12,14.56,33849,2007,51.4
Estonia,Europe,2162,19100,40,60,,,9.53,19715,1635,42.9
Luxembourg,Europe,1788,82600,40,60,,,11.8,39442,2381,53.6
Czech Republic,Europe,2045,25600,57,58,0.28,20,14.76,28055,1697,52.9
Austria,Europe,47721,40400,11,55,-1.43,8,9.68,37933,2299,51.1
Israel,Europe,3426,29800,13,54,,,11.94,21452,1487,54.5
Slovakia,Europe,748,22000,104,52,,,10.83,22094,1170,50.6
Spain,Europe,12220,29400,57,51,,,12.16,31068,2046,55.4
India,Asia,1173,3500,77,48,,,9.39,19376,1456,60.6
Japan,Asia,1172,34000,54,46,-2.68,4,14.84,22423,1702,61.5
Brazil,South America,972,10800,69,38,3.98,29,19.15,18635,1818,55.8
Lebanon,Asia,596,14400,80,38,,,12.57,11215,1076,47.8
Greece,Europe,680,29600,60,35,0.54,21,12.64,21710,2015,57.3
Romania,Europe,1095,11600,90,30,2.42,25,11.8,15306,1212,44.7
Portugal,Europe,1690,23000,63,27,,,12.48,20455,1806,52.5
Hong Kong,Asia,2570,45900,68,25,-1.39,10,17.81,17275,1566,54.8
Singapore,Asia,2372,62100,74,20,-0.65,15,15.66,21932,1491,52.8
China,Asia,573,7600,80,20,1.03,23,11.29,23271,2403,57.7
Vietnam,Asia,778,3100,70,20,,,12.79,8910,1116,48.6
Thailand,Asia,649,8700,64,20,,,9.63,25852,1598,53.2
Korea,Asia,1105,30000,60,18,-0.02,18,8.87,13816,882,51.9
Taiwan,Asia,547,35700,58,17,-0.73,14,22.36,21053,1262,56.0
